fact,question,A,B,C,D,commonSense,answer
sending electricity through a conductor causes electricity to flow through that conductor,"When the game console's power cable was attached to the wall, electricity ended up in",the plug,the power cable,the wall,the game console,"['attaching the conductor to a battery sends electricity to it', 'electricity goes through a power cable']",D
sharp beaks are a kind of adaptation for catching prey,"Some birds have scooped beaks, but others have sharp beaks such as",peregrine falcons,pelicans,toucans,snakes,"['hummingbirds have sharp beaks', 'falcons have sharp beaks']",A
medicine can cause people to have bad reactions,People commonly have bad reactions to what they get from a,discount store,lawyer,catalog,pharmacy,"['people get medicine from a pharmacy', 'energy is a reaction']",D
"as the activity of an animal increases , the amount of water in an animal 's body in that environment will decrease",What happens to body water when animal activity rises,the water decreases,it stays same,the water increases,the water hardens,"['rise is an increase in activity', 'an animal leaving an environment reduces the number of that animal in that space']",A
carbon dioxide concentrations in the air have increased over the last decade dramatically,"More carbon dioxide is in the air in the past decade than ever before, probably because",more cattle produced,more plant life,human population increased,less water area,"['fewer trees would increase carbon dioxide in the air, lowering air quality', 'carbon dioxide is a gas']",C
a thermal insulator slows the transfer of heat,What slows down the transfer of heat?,a wooden wall,the wind,the sun,light rays,"['an active insulator slows electrical transfers', 'the heat energy is transferred to the food']",A
shelter can protect humans from weather,"Whether a rainstorm, snow, or hail, humanity can find a way to escape it by",restoring old city streets,creating a protected space,building a large community,sheltering all the young,"['shelter is protection', 'shelter is a protected space']",B
wind and rain cause erosion,"In a strong tempest, a large boulder may be",broken,smoothed,sharpened,stained,"['erosion caused by rain', 'a gust is a strong wind']",B
"when an electrical conductor is plugged into an outlet , a circuit is completed",The way that electrical conductors works in ways such as,sticking a plug into an outlet to power a microwave,turning on a coffee pot in the morning,making sure that a hair dryer is unplugged after use,turning on lights in a room,"['steel is an electrical conductor', 'copper is an electrical conductor']",A
friction acts to counter the motion of two objects when their surfaces are touching,"When wheels are squealing on a blacktop, friction",works against motion,stops motion,removes forward motion,makes things rough,"['more friction happens when tires squeal', 'friction works against motion']",A
breaking down an object changes that object 's shape and mass,Breaking a vase changes its,center of gravity,shape and mass,chemical composition,speed,"['smashing an object changes breaks it down', 'a vase is an object']",B
a renewable resource can be renewed,"When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use",colored pencils,snow cones,murky river fluid,fresh flounder,"['Air and water are renewable resources', 'light from the sun is a renewable resource']",C
polluting means something poisonous is added to an environment causing harm to the environment,A consequence of polluting could be that,fish become inedible,water tastes gross,papers report it,trash is overflowing,"['Something that could cause harm to an animal could be punches.', 'bug killer is poisonous, and a pollutant']",A
the top layer of soil contains the most nutrients,the top layer of soil contains the most nutrients where I,hike,wade,jog,skate,"['the top layer of soil contains the most nutrients where I hike', 'soil contains nutrients']",A
a stem is used to store water by some plants,"A cacti is basically an enormous stem, which means that",it can be drunk from,it is very thin,it holds up bright green leaves,it can hide in grass,"[""the trunk is a tree's stem"", 'roses have a stem']",A
loss of resources has a negative impact on the organisms in an area,Without reliable sources of food or water,creatures experience some suffering,animals must make their own,dogs will need to be fed,organisms need to be cared for,"['overhunting has a negative impact and is a loss of resources', 'logging causes loss of resources']",A
"when a sound is produced inside of a room , there is sometimes an echo after the sound",An echo is produced by what type of reflection of sound source?,Direct,Distant,Varied,Single,"['Single sound source reflects in form of an echo', 'an echo is a delayed reflection of a sound']",D
